date,crime,zone,summary,pio
"September 1, 2020",Arrest/Shooting,Zone 6,,Cara Cruz
"October 6, 2020",Fatal Shooting,Zone 5,"Pittsburgh Police responded to a Shotspotter alert for multiple rounds fired on the 6400 block of Clifford Street around 11:40 p.m. When Zone 5 officers arrived, they discovered a male down on the sidewalk. Medics pronounced the victim deceased at the scene. There were no other victims or suspect descriptions. The Mobile Crime Unit processed the scene and the investigation is ongoing.",Maurice Matthew
"December 28, 2019",Shooting,Zone 4,.,Maurice Matthew
"September 28, 2021",Missing Juvenile,All Zones,"Pittsburgh Bureau of Police detectives seek the public’s help locating a missing juvenile female. Siobhan Barnett, 17, is 5 feet 5 inches tall, around 140 pounds with Black hair and Brown eyes. She was last seen the morning of September 24. She may be wearing a black bonnet, and glasses. Siobhan frequents the North Side area. If you know of her whereabouts please call SVU detectives at (412) 323-7141.",Maurice Matthew
"December 4, 2020",SWAT,Zone 5,"Pittsburgh Police responded to the 7100 block of Verona Boulevard for a male in crisis just after 10:15 p.m. When officers from Zone 5 arrived, they were notified of a male who threaten to harm himself and refusing to open the door. Officers were alerted to a possible firearm inside, and SWAT was called out of an abundance of caution. Multiple verbal commands were made by SWAT and negotiators to communicate with the male. SWAT officers made limited entry just inside the front door where the male surrendered without incident. He was treated on scene by medics and transported for additional assistance.",Maurice Matthew
"November 11, 2021",Facade Collapse,Lawrenceville,"UPDATE 2: 11/17/21 at 4:25 p.m. Butler Street is now open to vehicle traffic in both directions between 42nd and 44th. UPDATE: Butler Street remains closed between 42nd and 44th. Tractor trailers and emergency vehicles are permitted to pass, but other traffic will continue to be detoured. There is no set time for reopening as of now. ORIGINAL STORY: Crews closed Butler Street in Lawrenceville between 42nd and 44th streets after the facade fell off a building in the early morning hours of November 11th, 2021. The building is in the 4300 block of Butler Street. No one was injured and there are no utility outages, though Duquesne Light was on scene tending to hanging wires. Drivers should avoid the area throughout the day and expect detours as cleanup continues.",Amanda Mueller
"February 7, 2020",Robbery,Zone 4,"Pittsburgh Bureau of Police responded to a call of a business robbery at the 300 block of Craft Avenue around 11:40 p.m. Zone 4 officers arrived and were met by an employee who stated a male attempted to reach into the register when it was opened. The actor jumped over the counter and assaulted the clerk. He was able to grab cash. When the suspect tried to leave, the clerk electronically locked the door. The suspect broke a window and fled in an unknown direction. The suspect is described as a bearded male wearing a Steelers jacket. Police are investigating.",Maurice Matthew
"March 26, 2021",DOA,Zone 1,"Just before 12:45 a.m, police from Zone 1 located a female outside on Bidwell Street at Western Avenue with significant head trauma. She was pronounced deceased at the scene a short time later. The cause and manner of death will be determined by the Allegheny County Medical Examiner's Office. The investigation is ongoing.",Cara Cruz
"July 6, 2019",Shooting,Zone 3,"Pittsburgh Bureau of Police responded to a 911 call of a person shot in the 600 block of Curtin Avenue just before 1:00 a.m. When officers arrived on scene they found a male victim outside a residence with a gunshot wound to the thigh. The victim, who was conscious and alert, told them he was outside walking when three young males shot him and ran off in an unknown direction. The victim was transported to a local hospital in stable condition by EMS. Police are investigating.",Cara Cruz
"September 1, 2020",Vehicle vs. Cyclist,Zone 4,Pittsburgh Police from Zone 4 responded to reports of a cyclist struck by a vehicle at the intersection of Morewood Avenue and Ellsworth Avenue just before 10:25 p.m. Once on scene they found a female victim with a possible head injury. She was transported to the hospital by EMS in serious condition. The driver of the vehicle remained on scene. The roadway reopened to vehicle traffic just before 1 a.m. The Collision Investigation Unit is investigating.,Cara Cruz
"July 25, 2020",Vehicle v. Pedestrians,Zone 1,Pittsburgh Police from Zone 1 responded to reports of a hit-and-run collision involving pedestrians at the intersection of Belleau Drive and Belleau Street just before 11:45 p.m. When responding officers arrived on scene they found a mother and her four-year-old daughter who had been struck. Both were alert and conscious. They were transported to the hospital in stable condition by EMS with undisclosed injuries. There is no vehicle description at this time. Police are investigating.,Cara Cruz
"September 9, 2019",Unusual,Zone 3,"Pittsburgh Bureau of Fire and police officers from Zone 3 responded to the 2100 block of Brownsville Road for reports of a male in the back of a garbage truck just after 3:30 a.m. When they arrived on scene they were met by a driver with Republic Services who stated he was emptying a garbage container into the back of his truck when a male fell in. He told police that when the truck lifted the container he thought he could hear screaming, but he emptied it and brought it back to the ground when he started hearing louder screams. The driver got out of the truck and opened a rear sliding door to find a male inside. He called 911 because he could not get him out on his own. Pittsburgh Bureau of Fire arrived to retrieve the man from the back of the truck. The man told police he had lost track of the friend he was with the night before and got into the garbage container because he needed a place to sleep. EMS transported the male to Mercy Hospital to treat some minor injuries to his face and knee.",Cara Cruz
"May 2, 2020",Shooting,Zone 5,"Pittsburgh Bureau of Police officers responded to a ShotSpotter alert of more than 20 rounds of gunfire on the 7400 block of Stranahan Street around 1:15 a.m. Zone 5 officers found multiple shell casings and blood, but no victims or shooters. Around 9 a.m., a female gunshot victim was taken by private means to a local hospital. She was admitted in stable condition with a gunshot wound to her foot. She stated she was shot overnight on Stranahan Street. Police are investigating.",Chris Togneri
"June 12, 2021",Fatal Collision,Zone 1,"Pittsburgh EMS, Fire, and Police responded to the 1300 block of Western Avenue around 11:35 a.m. for a vehicle into a structure. When first responders arrived, they observed heavy smoke and occupants leaving the structure. A Mass Casualty Incident (MCI) notification was issued due to the severity of the damage and unknown amount of entrapped victims. Medics from nearby Ross / West View and Baldwin assisted Pittsburgh EMS with the injured. Firefighters extinguished the 2-alarm fire and continued to search for entrapped victims alongside medics. There were around 10 employees and five donors inside at the time of the collision. One patient who suffered injuries was transported to a local hospital in critical condition. EMS evaluated many other on scene. A medic from the Pittsburgh Bureau of Emergency Medical Services and two Pittsburgh Firefighters were treated for minor smoke inhalation. Medics pronounced three victims deceased, one being an occupant of the vehicle. The Medical Examiner will determine the cause of death. The Collision Investigation Unit and The Fire Investigation Unit arrived to process the scene, and the investigation is ongoing.",Maurice Matthew
"September 18, 2019",House Fire,Homewood,"Pittsburgh Fire responded to a report of a house fire in the 7100 block of Idlewild Street around 9:30 p.m. Firefighters came upon a vacant home fully involved. The fire eventually spread to a free standing neighboring home. The fire, which went to three alarms, was contained in about 45 minutes. No one was injured. The vacant home sustained heavy damage. The occupied neighboring home sustained substantial damage. The Fire Investigation Unit, made up of investigators from Pittsburgh Fire and detectives from Pittsburgh Police, are investigating the cause of the fire.",Chris Togneri
"January 17, 2021",Shooting,Zone 6,Pittsburgh Bureau of Police officers responded to a report of a male shot on the 1100 block of Shadycrest Drive around 2: to 50 a.m. Zone 6 officers located a juvenile male with a gunshot wound to his back. He was conscious and talking. Medics transported him to a local hospital in stable condition. No arrests at this time. Violent Crime Unit detectives are investigating.,Chris Togneri
"August 29, 2021",Shooting,Zone 3,"Just before 2 a.m., Pittsburgh Police officers from Zone 3 responded to a ShotSpotter alert in the 80 block of S.13th Street and reports of a gunshot victim on Muriel Street at S.14th. Officers located a male victim there with three gunshot wounds. He was transported by medics to the hospital in critical condition. The Crime Scene Unit processed evidence at more than one location in the vicinity of where the gunshot victim was located. Violence Crime Unit detectives are investigating.",Cara Cruz
"December 6, 2019",Arrest,Zone 3,"On December 5, Allegheny County Sheriff’s deputies arrested Steven Hill, 25, of Mt. Oliver for his role in a robbery and double shooting that occurred in the 2000 block of Dellrose Street on November 14. Hill is charged with two counts of Robbery and one count of Conspiracy to Commit Robbery in relation to the incident. He is currently being held in Allegheny County Jail. In addition to this arrest, the Allegheny County Fugitive Task Force previously arrested Cody Smith, 23, in connection with this incident. Smith is charged with Criminal Attempt Homicide, Aggravated Assault, Robbery and gun charges. Pittsburgh Police would like to thank the Allegheny County Sheriff’s Office and the Allegheny County Fugitive Task Force for their assistance with this case. Original incident details: https://pittsburghpa.gov/publicsafety/blotterview.html?id=389",Cara Cruz
"October 19, 2020",SWAT,Zone 6,"Pittsburgh Police from Zone 6 responded for a domestic incident in the 90 block of Dawn Avenue just after 6 a.m. When they arrived on scene they were met by a female who told them an ex-partner had showed up at her residence, had become violent, and was threatening suicide. At around 7:15 SWAT was called in as the male had barricaded himself inside and was refusing to come out. Negotiators were in intermittent contact with him, but he continually refused to leave the residence. Tactical means were utilized to encourage the male to surrender. Police eventually took the male into custody. He was transported to the hospital to be cleared medically before being taken to jail. The female was transported by medics to be evaluated at the hospital.",Cara Cruz
"August 6, 2020",SWAT,Zone 3,Pittsburgh Police responded to a report of a dispute on the 100 block of E Agnew Avenue around 8:45 p.m. Zone 3 officers were met by a male that stated his neighbor pulled out a firearm during on him during a dispute and went back into his house. When officers went to knock on the door they heard a gunshot inside of the house. Officers gave commands for the male to come outside. SWAT was called when witnesses said there may be a child in the house. SWAT made a crisis entry into the home and the suspect was taken into custody without incident. Officers did not find a child or other residents in the house.,Maurice Matthew
"June 16, 2019",Dog vs. officer,Zone 6,"A Pittsburgh Bureau of Police officer from Zone 6 responded to the 3000 block of Ashlyn Street for reports of an unconscious male who was possibly having a seizure just before 12:25 a.m. When he arrived on scene to provide aid to the male while EMS was en route, a Rottweiler that was running loose charged at him, biting him in the back of the thigh and knocking him to the ground. As the officer was getting back up, the dog lunged at him again. This time the officer discharged his weapon, killing the dog. Police dispatch was informed of what had occurred. The officer was able to then aid the victim on the sidewalk. EMS arrived and transported the male to Mercy Hospital in stable condition. The officer was also transported to the hospital and treated for his injuries. It was later discovered the animal belonged to the male patient. Animal Care and Control will take possession of the deceased dog.",Cara Cruz
"March 2, 2021",Shooting,Zone 3,"Pittsburgh Police and EMS responded to 9-1-1 call the 0 block of E Carson Street for a report of a vehicle that hit a pole around 1:10 a.m. When Zone 3 officers arrived on scene, they were alerted by an off duty firefighter performing CPR on the victim. The male victim suffered a gunshot wound and vehicle struck a pole near the intersection of E Carson Street and Arlington Avenue. Medic transported the victim to a local hospital in critical condition. There were no suspect descriptions and investigation is ongoing.",Maurice Matthew
"February 3, 2021",Non-fatal Shooting,Zone 2,"Pittsburgh Police responded to shots fired at the corner of 9th Street and Liberty Avenue around 10:45 a.m. Upon the investigation, police learned the male suspect fired at a male and female after he was pepper sprayed by one of them. Officers located the suspect a short distance away, where he was arrested without incident. The suspect faces various firearm charges. There were no injuries reported.",Maurice Matthew
"March 14, 2020",Assault,Zone 4,"Pittsburgh Bureau of Police detectives seek the public's help locating two men wanted in connection to a March 14 assault in Oakland. Police have issued warrants got William Murphy, 27, and Kevin Allison, 30. Both men face aggravated assault charges in an assault on the 300 block of Atwood Street around 3 a.m. on March 14. Anyone with information on their whereabouts is asked to call Zone 4 police station at (412) 422-6520. (William Murphy) (Kevin Allison)",Chris Togneri
"November 25, 2021",Shooting,Zone 5,Pittsburgh Police from Zone 5 responded to the 7200 block of Race Street just before 5 a.m. for a Shotspotter alert for one round. Officers searching the area located a male with a gunshot wound to the left ankle. He was conscious and alert when medics transported him to the hospital in stable condition. The victim provided officers with little information about how the shooting happened. Violent Crime Unit detectives are investigating. The Mobile Crime Unit processed the scene. The investigation is ongoing.,Cara Cruz
"November 17, 2019",Accident,Zone 5,"Pittsburgh Bureau of Police responded to a 911 call of an accident on Washington Boulevard around 1:30 a.m. The female driver in a SUV says she fell asleep behind the wheel. The Vehicle rolled over in the East Bound lane. No other vehicles were involved or damage to the flood gates. Driver was extracted by Firefighters conscious, talking and alert. She was transported by EMS to a local hospital to be evaluated. Police are investigating.",Maurice Matthew
"June 13, 2020",Fatal Crash,Chateau,"Pittsburgh Police, Fire and EMS responded to a report of a single-vehicle crash near the intersection of Island and Beaver avenues in Chateau around 4:25 p.m. Zone 1 police officers found a burning car with multiple victims inside. The officers were able to pull a woman from the vehicle. Firefighters on scene pulled a toddler from the back seat. EMS transported the woman to a local hospital, but she later died. The child was transported to a local hospital in critical condition. A male in the car was pronounced dead at the scene. A dog in the vehicle also died. Pittsburgh Firefighters put out the car fire. The Crash Investigation Unit responded to process the scene. Beaver Avenue will remain closed while the investigation continues. Witness accounts suggest speed may have been a factor in the crash.",Chris Togneri
"October 28, 2020",Vehicle into House,North Side,"Pittsburgh EMS, Fire and Police responded to a report of a vehicle into a house near the intersection of Brighton Road and Brighton Place shortly before 5 p.m. The driver, a 24-year-old male, had crashed into a home where Brighton Place branches off Brighton Road, causing major damage to the brick three-story house and the vehicle. The driver was ejected and trapped under debris. First Responders dug the man out of the debris, and medics stabilized him. The man was transported to a local hospital in stable condition. Two people were home but were not injured. Police are investigating the cause of the crash. The house's back wall sustained major damage, and a PLI investigator condemned the residence. The American Red Cross is assisting the family with shelter tonight.",Chris Togneri
"December 1, 2019",EMS Police Calls,Zone 1,"There were no major Public Safety incidents to report from the December 1 Pittsburgh Steelers / Cleveland Browns game. Police issued five non-traffic citations and there was one arrest for aggravated assault on police (against a Deputy Sheriff), resisting arrest and disorderly conduct. Pittsburgh Bureau of EMS was requested 16 times for various medical calls, including one call to Stage AE. Of those, there were five transports to the hospital for falls and one for intoxication, all of them minor. One person was taken to the hospital in stable condition suffering from chest pain.",Cara Cruz
"August 30, 2021",Assault,Zone 3,"Pittsburgh Police responded to a reported fight on the 200 block of Reifert Street around 12:40 a.m. on August 17, 2021. Responding Zone 3 officers learned of an altercation between two neighbors. Police located an unconscious male with a head wound inside a home. Witnesses stated a neighbor struck the victim in the head with a table leg. Medics transported the victim to a local hospital in critical condition. The victim succumbed from his injuries 10-days later. The suspect, Walter Jones was arrested at scene and is expected to be charged with Homicide.",Maurice Matthew
"January 7, 2021",Shooting,Zone 1,Just before 8:45 p.m. Pittsburgh Police Zone 1 officers responded to a 911 call for possible gunshots in the 3600 block of Perrysville Avenue. A short time later a male victim showed up at the hospital in a private vehicle with a gunshot wound to the elbow. He arrived in stable condition. The victim told police he was shot on Perrysville Avenue by two unknown males. Violent Crime Unit detectives and the Crime Scene Unit processed evidence at the scene. The investigation is ongoing.,Cara Cruz
"December 2, 2021",Suspect Arrest,Homewood North,"At 7:15 a.m. on December 2, 2021, officers in Zone 5 responded to a tip regarding a suspect in a Wilkinsburg homicide that occurred on November 25, 2021. Multiple Zone 5 units responded to the area of Brushton and Frankstown Avenues in Homewood North and found 52-year-old George Booker. Officers arrested him without incident. Booker was taken to Allegheny County Jail for arraignment. Allegheny County Police are handling the investigation.",Amanda Mueller
"March 6, 2020",Shotspotter,Zone 6,"Pittsburgh Police officers from Zone 6 responded to a report of a domestic dispute, in addition to a Shotspotter alert, for the 700 block of Sherwood Avenue around 2:25 p.m. Upon arrival officers learned that a male suspect had fired rounds toward an individual. The rounds struck a vehicle parked nearby. There were no reported injuries. Langley K-8 school was placed on lockdown while Pittsburgh School Police conducted a sweep. The lockdown was lifted when the sweep was completed. Police are investigating.",Maurice Matthew
"February 22, 2021",Structure Fire,North Side,"Pittsburgh Firefighters responded to a 911 report of a structure fire around 11:30 a.m. on the 500 block of Alpine Avenue. Arriving crews found flames and heavy smoke coming out of a third-floor window. It took about 20 minutes for firefighters to knock down the 2-alarm fire. No injuries were reported. At least one residence is uninhabitable, with significant damage at the second and third floors. The Fire Investigation Unit, which is comprised of Pittsburgh Fire investigators and Pittsburgh Police detectives, is investigating the cause of the fire.",Chris Togneri
"June 19, 2019",Shooting,Zone 3,"Pittsburgh Bureau of Police officers from Zone 3, as well as EMS, responded to reports of a shot fired in the 100 block of Birmingham Avenue just after 1:45 a.m. When they arrived on scene they discovered a male victim with a single gunshot wound to his upper arm. The male was alert and talking and told police he was shot while walking in the area. He was transported to a local hospital in stable condition. Police are investigating.",Cara Cruz
"May 21, 2019",Vehicle v. Pedestrian,Zone 4,Pittsburgh Bureau of Police officers from Zone 4 and EMS responded to reports of a pedestrian struck by a vehicle in the 5700 block of Pocusset St. just after 5:45 p.m. When they arrived on scene they found a 14-year-old girl who had attempted to cross the street and was struck by a vehicle. She suffered injuries to one arm and some bruising. EMS transported the girl to Children’s Hospital in stable condition. Police are investigating.,Cara Cruz
"August 9, 2020",Shooting,Zone 5,"Pittsburgh Police and EMS responded to a 9-1-1 call of a male shot on the 800 block of Farragut Street around 8:20 p.m. When first responders arrived, they attended to a male with a gunshot wound to the neck. Medics transported the victim to a local hospital in critical condition. There were no other injuries reported. Police are investigating.",Maurice Matthew
"August 16, 2019",Arrest,Zone 1,"Just before 12 a.m. Pittsburgh Bureau of Police officers assigned to the Northview Heights Public Safety Center were on patrol in the 700 block of Mount Pleasant Road when they observed a known warrant suspect. Officers noted that the male suspect was wanted for a parole violation related to firearms possession. Police exited their vehicles and attempted to place the suspect under arrest, but he fled towards Penfort Street. Officers began pursuing him on foot. In the 300 block of Penfort, officers observed the suspect pull a firearm from his waistband and throw it into a sewer grate. They were able pull him to the ground at that location where he continued to violently resist arrest before eventually complying. The suspect was placed under arrest and was also transported to the hospital for treatment for asthma. Jacque David, 27, was arrested and charged with firearms violations, escape, and flight to avoid apprehension, trial or punishment. The arrest clears two arrest warrants against David, one with the City of Pittsburgh and one with the Allegheny County Sheriff's Office. The Pittsburgh Bureau of Fire assisted with retrieving the discarded firearm from the sewer.",Cara Cruz
"November 21, 2019",Fire,Zone 2,"The Pittsburgh Bureau of Fire responded to 911 calls for a commercial fire at 5 Market Square Downtown just before 12 p.m. The initial response was for a 2-alarm fire that quickly grew to 4 alarms. Buildings immediately adjacent to 5 Market Square were evacuated immediately. One firefighter, a Lieutenant from 4 Engine, suffered heat exhaustion while fighting the fire. He was transported by EMS to UPMC Mercy Hospital for observation. He was alert and conscious and had exited the structure on his own before being taken to the hospital. Assistant Fire Chief Norman Auvil said the fire was on the second and third floors of the structure, as well as the roof, when firefighters arrived on scene. Firefighters were able to gain control of the blaze in less than an hour. “It was a fast attack, a quick knock-down and good aerial placement by truck company Number 4,” said Auvil. Pittsburgh Bureau of Police officers from Zone 2 provided support to control traffic and crowds in Market Square during the busy lunch hour as Fire battled the blaze. The Fire Investigation Unit, which consists of detectives from the Pittsburgh Bureau of Fire as well as the Pittsburgh Bureau of Police, is investigating the exact cause of the fire.",Cara Cruz
"May 28, 2020",Shooting,Zone 5,"Pittsburgh Bureau of Police officers responded to a Shotspotter alert for multiple rounds fire on the 6900 block of Formosa Way around 9:05 p.m. When Zone 5 officers arrived, they found a male with a gunshot wound to the chest. An officer rendered aid to the victim until Medics arrived. EMS transported the male to a local hospital in critical condition. There were no suspect descriptions. Detectives from the Violent Crime Unit and Mobile Crime Scene Unit arrived to process the scene and are investigating.",Maurice Matthew
"June 11, 2020",Aggravated Assault/Looting,Zone 2,"The Damage Assessment and Accountability Taskforce (DAAT), comprised of local, state and federal law enforcement agencies, is seeking the public’s assistance in identifying the male in this series of photographs. He is suspected of being involved in several criminal acts during the May 30 protests downtown around 6th and Wood Street, and is observed numerous times on camera throwing concrete, rocks and debris at police, one time striking an officer and causing a concussion. He is also believed to have looted at least one business. The male, wearing a dark shirt and jeans and carrying a backpack, was observed outside Wood Street station after taking off his mask at one point. Anyone with information is asked to contact the taskforce at DAAT@Pittsburghpa.gov, or call (412) 323-7800 and ask for the taskforce. Contributors will remain anonymous.",Cara Cruz
"July 3, 2021",Collision,Zone 5,"Police, Fire and EMS responded for a collision between a motorcycle and a vehicle at the intersection of Frankstown Avenue and Madonna Street just before 8:30 p.m. The male motorcycle rider suffered serious injuries to one hand. He was conscious and alert when he was transported to the hospital by medics in stable condition. The driver of the vehicle was unhurt. Police are investigating.",Cara Cruz
"December 17, 2020",SWAT,Zone 4,"Pittsburgh Bureau of Police, Fire, and EMS responded to the 4200 block of Ludwick Street around 10:45 a.m. for a reported male in crisis. When first responders arrived, they were notified of a male barricaded inside the home threating to harm himself. SWAT and negotiators kept communication with the male who refused to exit the house. Just over an hour later, SWAT gained access where the male surrendered without incident. The man was treated by on scene medics before being transported for additional assistance.",Maurice Matthew
"September 25, 2021",River Rescue,Zone 3,"Pittsburgh River Rescue responded to the area of the 10th Street bridge on the South Side of the Monongahela River for reports from the Fish and Boat Commission of a male who was observed going under the water before 1:45 p.m. River Rescue divers retrieved a male victim within minutes of the original call and brought him to the 18th St. wharf. Medic 7 transported him to the hospital in critical condition. Rescue 2, EMS Unit 503, and the Fire Boat also responded to the scene.",Cara Cruz
"January 5, 2020","Shots Fired, Fight",Zone 2,"Pittsburgh Bureau of Police officers responded to a report of a large fight followed by shots fired at a nightclub on the 100 block of 7th Street just before 1 a.m. Officers from Zone 2 found a large group of people outside. Per the initial investigation: A large fight involving patrons and bouncers started inside the nightclub and moved outside. During the fight, a male pulled out a gun and fired. No one was struck. Police recovered casings in the street. As police arrived, a person pointed to a yellow vehicle and stated that the occupant had a gun. Officers stopped the vehicle, recovered a firearm and detained the occupant. However, witness statements and video indicate the man did not fire his gun. His registered gun did not match the casings, and multiple witnesses confirmed that he had not fired. Police continue to interview witnesses and collect video. No arrests have been made at this time. The investigation is ongoing. Anyone who might have witnessed this fight or shooting is asked to call Zone 2 detectives at (412) 255-2827.",Chris Togneri
"September 28, 2020",Stolen Vehicle/ Pursuit,Multiple jurisdictions,"Pittsburgh Bureau of Police officers from Zone 3 responded to a report of a vehicle stolen from the area of Station Square just before noon. The vehicle was a work truck with tools inside, taken from a construction site. When the vehicle was observed traveling westbound down West Carson Street at a high rate of speed, Zone 6 officers were alerted it was likely headed toward their zone. When Zone 6 officers encountered the vehicle in the 1500 block of Ridenour Street, they conducted a traffic stop. The suspect vehicle subsequently fled from the traffic stop and an officer fired their weapon during the incident. Pittsburgh Police alerted Pennsylvania State Police as the vehicle made its way toward and then onto I-376 westbound and then I-79 southbound, traveling at times at speeds in excess of 80 miles per hour. West Virginia State Police were alerted before the pursuit moved into that state just after 12:50 p.m. The driver of the stolen vehicle eventually crossed into Ohio and was taken into custody by Ohio State Highway Patrol at Exit 1 on I-470 westbound at around 1:10 p.m. Shad Bocella, 24, of Bridgeport, PA was arrested. He had just been released from Allegheny County Jail earlier in the morning. Bocella faces charges both in Ohio and Pittsburgh. Pittsburgh Police are consulting with the Allegheny County District Attorney’s Office on the exact charges. Pittsburgh Police would like to thank Pennsylvania State Police, West Virginia State Police, and the Ohio State Highway Patrol for their assistance in bringing this incident to a safe conclusion for all involved. The Pittsburgh Bureau of Police will be handling the investigation.",Cara Cruz
"August 28, 2020",Shooting,Zone 6,"Pittsburgh Bureau of Police officers responded to a ShotSpotter alert of more than a dozen shots fired on the 3000 block of Landis Street around 6:15 p.m. Zone 6 officers located a crime scene with multiple casings, and a victim around the corner on the 700 block of Sherwood Avenue. The victim, a 14-year-old male, suffered a graze wound to his shoulder. Medics transported him to a local hospital in stable condition. Per the initial investigation: A vehicle approached the victim, and a passenger got out and started chasing after and shooting at the victim. The Mobile Crime Unit and Violent Crime Unit responded to the scene. The investigation is ongoing.",Chris Togneri
"July 5, 2019",Event wrap,Zone 2,"PITTSBURGH, PA (July 5, 2019) – Thousands of people gathered Downtown last night to watch the annual Fourth of July fireworks display. After an early evening downpour, the skies cleared in time for the show over Point State Park. As heavy crowds moved out of the downtown core after the finale, the evening was interrupted by shots fired in the 600 block of Penn Avenue near 7th Street just after 11:00 p.m. Pittsburgh Bureau of Police, Port Authority and Pennsylvania State Police officers patrolling the area were on scene immediately to find two males with gunshot wounds. Both victims were transported to local hospitals in critical condition by Pittsburgh EMS. Police continue to investigate and are asking anyone who may have witnessed these shootings, or can provide any information, to please call Pittsburgh Bureau of Police Headquarters at (412) 323-7800. In addition to this incident, Pittsburgh EMS responded to nine calls and conducted four hospital transfers. Police made three arrests: two people for a domestic dispute, and one person for disorderly conduct (fighting). The Pittsburgh Bureau of Fire did not receive to any fire calls for its units dedicated to the fireworks event. City of Pittsburgh Public Safety Director Wendell Hissrich would like to thank all of our partner agencies including: Allegheny County Police, Allegheny County Sheriff’s Office, Pennsylvania State Police, Port Authority, Coast Guard, State Park Rangers and everyone in Pittsburgh Public Safety.",Cara Cruz
"October 13, 2021",Theft/Arrest,Zone 5,"Original incident details: http://pittsburghpa.gov/publicsafety/blotterview/1489 Pittsburgh Police from Zone 5 responded to a theft in progress in the 5100 block of Harriett Street around 10:20 a.m. Officers encountered a male actor who became non-compliant while being taken into custody. A Taser was deployed during the arrest. Per policy, the patient was transported to the hospital to be medically cleared before being transferred to Allegheny County Jail. Outside the hospital the patient exhibited a medical emergency and is in critical condition. Allegheny County Police will be investigating.",Cara Cruz
"March 31, 2021",PSA,All Zones,"Pittsburgh Police have recently witnessed a concerning trend in the number of firearms being stolen from vehicles. Over the past month and a half, there have been nearly a dozen legally-owned guns taken from vehicles in the City, some of which had been left unlocked. Police want to remind gun owners of the following: Thieves target vehicles for any kind of valuables and often find guns as a result. Guns should never be stored in unattended vehicles whether the vehicles are left locked or unlocked. Vehicles are not a safe storage place. Stolen guns quickly become part of the illegal gun market, thus contributing to the problem of violent crime. This is exactly what the gun owner intended to guard against. Don't make it easy for thieves. The last thing a lawful owner wants to hear is that their stolen gun was used in a shooting, especially if the theft could have been easily avoided by responsibly storing the firearm.",Cara Cruz
"February 17, 2020",Robbery,Zone 1,,Maurice Matthew
"November 5, 2021",Arrest,Zone 3,"Pittsburgh Police received reports that a male who had suffered stab wounds to his head and arm had walked into Mercy Hospital before 5 a.m. The victim arrived at the hospital in stable condition. He told police he had been stabbed while at a bar in the 1600 block of Brownsville Road. Multiple officers thoroughly checked the area for evidence of a crime scene, with negative results. During the course of their investigation, police learned the victim had outstanding warrants and had been involved in a domestic incident with injuries to a female victim earlier in the evening in Zone 3. Police arrested Taylor Brice, 28, of Pittsburgh. He is charged with Simple Assault. He was transported to the Allegheny County Jail.",Cara Cruz
"July 30, 2020",Collision,White Oak PA,"Two Pittsburgh Police motorcycle officers with the Special Deployment Division were involved in a collision on Lincoln Way in White Oak, PA just before 11:40 a.m. The officers were part of a security detail protecting Vice President Mike Pence’s motorcade while the Vice President was visiting the area. Both officers were treated in the hospital for non-life-threatening injuries. The cause of the collision is being investigated. Pittsburgh Public Safety would like to thank Vice President Pence and members of the United States Secret Service for the concern and attention they showed the two injured officers. Vice President Pence stopped to tend to the officers personally; a gesture that was greatly appreciated by the officers themselves, and by the Pittsburgh Bureau of Police.",Cara Cruz
"September 9, 2019",Bank Robbery,Zone 4,"Pittsburgh Police officers from Zone 4 responded to the Citizens Bank in the 3700 block of Fifth Avenue for a robbery in progress just before 2 p.m. Per the initial investigation: A male suspect handed a teller a note demanding cash. After the teller handed over an undisclosed amount of money, the suspect left the bank. Detectives from Major Crimes and the Crime Scene Unit arrived to process the scene. The suspect is described as between 35-40 years of age, 5 feet 6 inches or 5 feet 7 inches in height and bald with a moustache. He was wearing dark ski glasses, a dark ball cap and dark clothing at the time of the robbery. The investigation continues. Updates will appear on the blotter.",Cara Cruz
"November 20, 2020",Shooting,Zone 5,Pittsburgh Bureau of Police officers responded to a 9-1-1 call for a male shot around 5:50 p.m. on Alsace Way just west of N. Braddock Avenue. Zone 5 officers found a male adult with a gunshot wound to the stomach and immediately began rendering aid. EMS transported the man to a local hospital in critical condition The Crime Scene and Violent Crime units arrived to investigate. No arrests at this time but the investigation is ongoing.,Chris Togneri
"May 25, 2019",Vehicle Crash,Zone 1,"Pittsburgh Bureau of Police officers from Zone 1 responded to reports of a single vehicle crash in the 3400 Block of McClure Avenue just before 11:00 a.m. on May 25. Before they arrived on scene the driver had fled the flipped vehicle, which had hit a Duquesne Light utility pole, pulling down live wires on top of the vehicle. Once the wires were cleared, officers searched the vehicle to ensure there were no occupants inside, but found it to be empty. Witnesses told police they saw a white, middle-aged female with dark hair running down the street with a child in her arms. The child was described as approximately 7 years old, but there was no other description. Witnesses say the female and child got into a sedan at the intersection of Woods Run Avenue and McClure Avenue. The vehicle was towed and impounded by police. Police also checked with local hospitals to see if anyone fitting the description of the pair showed up with injuries, with negative results. Police are investigating. Anyone who may have further information about this incident is asked to call Zone 1 police at (412) 323-7201",Cara Cruz
