headline,link,date,author,description,tags
IRE Radio Podcast | Product of Mexico,https://www.ire.org/ire-radio-podcast-product-of-mexico/,"February 20, 2015",hdcoadmin,We’re changing up the podcast this week and spending our entire episode on one story. IRE’s Shawn Shinneman talked with Los Angeles Times reporter Richard Marosi about his 18-month investigation […],"udio, food, international, mapping, maps, Mexico;, Podcast, radio"
"Apply now for free training in LA, Omaha and Atlanta",https://www.ire.org/apply-now-for-free-training-in-la-omaha-and-atlanta/,"February 20, 2015",hdcoadmin,"Do you have reporters or editors on your staff who would benefit from training to help them produce enterprise and investigative stories? Thanks to a grant from Sigma Delta Chi Foundation, […]",
IRE members honored with Polk awards,https://www.ire.org/ire-members-honored-with-polk-awards/,"February 17, 2015",Erica Martin,"The winners of the 2014 George Polk Awards in Journalism, announced Sunday by Long Island University, included several IRE members. The awards honor special achievement in journalism, particularly in the […]","wards, awards-1, Member News, Polk Awards"
"Survey: Investigative reporting continues despite surveillance, privacy concerns",https://www.ire.org/survey-investigative-reporting-continues-despite-surveillance-privacy-concerns/,"February 5, 2015",hdcoadmin,"Despite concerns over government surveillance, a recent survey of IRE members found that few have let those worries prevent them from pursuing a story or reaching out to a source. […]","hacking, privacy, security, surveillance"
IRE Radio Podcast | Killed by the Cops,https://www.ire.org/ire-radio-podcast-killed-by-the-cops/,"January 30, 2015",hdcoadmin,How many times a year do police kill people? And what happens to officers after they fire a fatal shot? Those were just some of the questions prompted by the […],"car_1, court documents, courts, data, FBI, Ferguson, IRE Radio, justice, law enforcement, Podcast, police, radio, reporting, Uniform Crime Reports"
Behind the Story: How the WSJ uncovered a flawed system of reporting police killings,https://www.ire.org/behind-the-story-how-the-wsj-uncovered-a-flawed-system-of-reporting-police-killings/,"January 29, 2015",hdcoadmin,"Rob Barry (left) and Coulter Jones (right) Rob Barry and Coulter Jones set out to analyze police killings, not poke holes in the system that tracks them. But when their […]","Behind the Story, behind-the-story-1, car_1, crime, data, FBI, Ferguson, justice, police, Uniform Crime Reports"
"Donate an IRE membership, help support the next generation of investigative journalists",https://www.ire.org/donate-an-ire-membership-help-support-the-next-generation-of-investigative-journalists/,"January 20, 2015",hdcoadmin,"IRE members are amazing. Last year, we launched an effort to help students get access to our resources and events through a Student Sponsorship Program. We knew that many of […]","donation, membership, student, student sponsorships"
3 ideas for covering America’s booming prison population,https://www.ire.org/3-ideas-for-covering-americas-booming-prison-population/,"January 14, 2015",Erica Martin,"The United States is a world leader in incarceration, with more than 2 million people in prisons and jails. At the 2014 IRE Conference Barry Krisberg, a senior fellow at […]","ADA, audio, jail, justice, lawsuit, legislation, prisons"
2014 Philip Meyer Award winners announced,https://www.ire.org/2014-philip-meyer-award-winners-announced/,"January 14, 2015",hdcoadmin,"IRE is proud to announce the 2014 Philip Meyer Award winners. Three data-driven investigative reports were named today as winners of the 2014 Philip Meyer Journalism Award. The projects, using […]","wards-1, Philip Meyer Journalism Awards"
Be the next Google Journalism Fellow at IRE,https://www.ire.org/be-the-next-google-journalism-fellow-at-ire/,"January 13, 2015",Erica Martin,IRE will host its third Google Journalism Fellow this summer and the application process is open until January 31. Apply now! The Google Journalism Fellowship program lasts for 10 weeks during […],"Google Journalism Fellowships, NICAR"
"Submit session, speaker ideas for the 2015 IRE Conference",https://www.ire.org/submit-session-speaker-ideas-for-the-2015-ire-conference/,"January 12, 2015",hdcoadmin,"IRE is looking to you for input in planning sessions for the upcoming IRE Conference, June 4-7, 2015 in Philadelphia. Please let us know what you'd like to learn – and who […]",IRE Conference
Mark your calendar for the first IRE Seattle Meetup this month,https://www.ire.org/mark-your-calendar-for-the-first-ire-seattle-meetup-this-month/,"January 7, 2015",hdcoadmin,"Join us for the first-ever IRE Seattle Meetup! We’ll be joining with AAJA and SPJ and gathering at The Diller Room (1224 First Ave. in Seattle) on Wednesday, Jan. 21 […]","Meetups, Member News"
Anthony DeBarros joins DocumentCloud as Director of Product Development,https://www.ire.org/anthony-debarros-joins-documentcloud-as-director-of-product-development/,"January 6, 2015",hdcoadmin,"DocumentCloud is pleased to announce that Anthony DeBarros is joining our team as Director of Product Development. DeBarros joins DocumentCloud from Gannett Digital, where he was Director of Interactive Applications, leading a team […]","Document Cloud, DocumentCloud"
New campus crime reports for 2013 available in the NICAR data library,https://www.ire.org/new-campus-crime-reports-for-2013-available-in-the-nicar-data-library/,"January 6, 2015",Erica Martin,"The most recent reports on alleged campus crime, arrests, discipline and hate crimes reported for 2013 are now available in the NICAR data library.  Buy it here. What's in it? […]","campus crime, data, NICAR News"
Don't forget to enter 2014 IRE Awards,https://www.ire.org/dont-forget-to-enter-2014-ire-awards/,"December 30, 2014",hdcoadmin,"It's time to consider entering your best work into the IRE Awards. Among the most prestigious in journalism, the IRE Awards recognize outstanding investigative reporting across all media. Eligible entries […]","wards-1, IRE"
Alex Richards joins IRE training team,https://www.ire.org/alex-richards-joins-ire-training-team/,"December 23, 2014",hdcoadmin,"Alex Richards is joining IRE as a member of our training team. Richards comes to IRE from the Chicago Tribune, where he had been a reporter specializing in investigative data journalism. […]",
IRE Office Closed for the Holidays,https://www.ire.org/ire-office-closed-for-the-holidays/,"December 22, 2014",hdcoadmin,"In celebration of the coming holidays, the IRE and NICAR offices will close Tuesday afternoon, Dec. 23 through Friday, Jan. 2 . While staff will be checking in periodically, coverage […]",
Several IRE members win 2015 Alfred I. duPont-Columbia Awards,https://www.ire.org/several-ire-members-win-2015-alfred-i-dupont-columbia-awards/,"December 17, 2014",hdcoadmin,Congratulations to the several IRE members who recently were recognized with 2015 duPont-Columbia Awards. Their hard work and dedication to good investigative journalism helps keep the public informed and educated […],"wards, awards-1, duPont, Member News"
Database quantifies wasted natural gas from Eagle Ford Shale in South Texas,https://www.ire.org/database-quantifies-wasted-natural-gas-from-eagle-ford-shale-in-south-texas/,"December 15, 2014",hdcoadmin,"An interactive map shows how the volume of flared gas in Texas counties has increased over time – especially in the Eagle Ford Shale.  By John Tedesco, San Antonio Express-News […]","Behind the Story, behind-the-story-1, car_1, CSV, data, database, energy, environment, gas, pollution, Ruby, Ruby on Rails, Uplink, Uplink blog"
Enter your best investigative work in the 2014 IRE Awards,https://www.ire.org/enter-your-best-investigative-work-in-the-2014-ire-awards/,"December 9, 2014",hdcoadmin,"It’s that time of year again – time to consider entering your best work into the IRE Awards. Among the most prestigious in journalism, the IRE Awards recognize outstanding investigative […]","2014, awards-1, IRE"
Senator puts hold on widely supported FOIA bill,https://www.ire.org/senator-puts-hold-on-widely-supported-foia-bill/,"December 8, 2014",hdcoadmin,A bill designed to improve the way the federal government handles an increasing load of FOIA requests – a bill that had gained bipartisan support – could be dying after […],"first amendment, FOIA, freedom of information act, journalism, Media, open records, Transparency"
Story Shorts goes behind the scenes with NBC Bay Area,https://www.ire.org/story-shorts-goes-behind-the-scenes-with-nbc-bay-area/,"December 8, 2014",hdcoadmin,"A tip from a source prompted the NBC Bay Area team to launch a major investigation into Sysco Corporation, the world's largest food distributor. Using a wide variety of cameras and […]","Behind the Story, behind-the-story-1, Broadcast, food, health, reporting, Story Shorts, undercover"
IRE collaborates with Pew Research Center on electronic security survey,https://www.ire.org/ire-collaborates-with-pew-research-center-on-electronic-security-survey/,"December 3, 2014",hdcoadmin,"IRE is working in partnership with the Pew Research Center to survey investigative journalists – including many IRE members – about challenges and concerns surrounding electronic surveillance, digital privacy and […]","urveillance, Survey"
Audio from 2014 Watchdog Workshops now available for download,https://www.ire.org/audio-from-2014-watchdog-workshops-now-available-for-download/,"December 2, 2014",Erica Martin,Participants at the Jacksonville Watchdog Workshop. (Photo courtesy of Tracey Eaton) Couldn’t make it to one of our Watchdog Workshops this year? We recorded audio from many of our panels […],"udio, Training, Watchdog Workshops"
Updated data on home mortgage applications now available from NICAR,https://www.ire.org/updated-data-on-home-mortgage-applications-now-available-from-nicar/,"November 21, 2014",Erica Martin,The Home Mortgage Disclosure Act (HMDA) database has just been updated in the NICAR Data Library. Loan application records for 2013 are now available.  What's in it? This Act requires […],"banking, data, database, Database Library, HMDA, housing, mortgage, NICAR, NICAR News"
Behind the Story: How NPR and ProPublica exposed problems with the Red Cross’ response to Superstorm Sandy,https://www.ire.org/behind-the-story-how-npr-and-propublica-exposed-problems-with-the-red-cross-response-to-superstorm-sandy/,"November 19, 2014",hdcoadmin,"Justin Elliott of ProPublica Justin Elliott, Jesse Eisinger and Laura Sullivan turned a vague tip about the American Red Cross’ inefficiency into a powerful report about the organization’s failings after […]","Behind the Story, behind-the-story-1, charity, donation, FOIA, Freedom of information, Hurricane, Hurricane Sandy, ProPublica, public records, radio, reporting, sources-1, sourcing"
University of Oklahoma releases parking tickets after student newspaper joins suit,https://www.ire.org/university-of-oklahoma-releases-parking-tickets-after-student-newspaper-joins-suit/,"November 18, 2014",hdcoadmin,A decision by the student newspaper at the University of Oklahoma to join its staffer’s lawsuit against the school caused officials to reverse course on their original decision to withhold […],"1st amendment, FOIA, open records, parking citations, parking tickets, public records, public records requests, student newspaper"
Webinar to highlight new data set on campaign advertising,https://www.ire.org/webinar-to-highlight-new-data-set-on-campaign-advertising/,"November 18, 2014",Erica Martin,Got a big election on your horizon in 2016 or even 2015? Join us for a free webinar Thursday and to get a sneak preview of an unprecedentedly detailed data […],"campaign contributions, campaign finance, Election Coverage, elections, finance, government, politics, webinar, webinar_1"
IRE Radio Podcast | Navigating Nonprofits,https://www.ire.org/ire-radio-podcast-navigating-nonprofits/,"November 14, 2014",hdcoadmin,"Americans donate about $300 billion a year to charities, with about 30 percent of that taking place in December. But not all charities are good stewards of donated dollars. For […]","udio, charity, donation, Hurricane Sandy, nonprofit, Podcast, sports"
Only 1 week left to enter the Philip Meyer contest,https://www.ire.org/only-1-week-left-to-enter-the-philip-meyer-contest/,"November 13, 2014",hdcoadmin,We know you've done some amazing work this past year and we'd love to see it! Enter the Philip Meyer Journalism Award contest for your chance to be recognized along with […],"wards, data journalism, NICAR News, Philip Meyer Journalism Award, social sciences, statistics-1"
Introducing NICAR Courses,https://www.ire.org/introducing-nicar-courses/,"November 12, 2014",Erica Martin,We've been training journalists for years and decided it was time to share some of that knowledge with college instructors to help prepare the next generation of journalists. With that […],"college, Educators, IRE News, NICAR Courses, NICAR News"
Story Shorts highlights lessons from VA investigation,https://www.ire.org/story-shorts-highlights-lessons-from-va-investigation/,"November 11, 2014",hdcoadmin,"We’re back with another round of Story Shorts, our new video series highlighting investigative reporting tips and techniques. This week we’re going behind the story with CNBC’s Dina Gusovsky and […]","Behind the Story, behind-the-story-1, Broadcast, health, healthcare, military;, Story Shorts, VA, veterans affairs, veterans-1, video"
Donate and support IRE’s Freelance Fellowship,https://www.ire.org/donate-and-support-ires-freelance-fellowship/,"November 10, 2014",hdcoadmin,"Every journalist faces challenges when digging into an investigative project. For independent journalists, those roadblocks can be even greater, because they typically don't have the support of a news organization […]","donation, Freelance Fellowship, independent journalist"
AUDIO: How to find specific forgotten victims,https://www.ire.org/audio-how-to-find-specific-forgotten-victims/,"November 6, 2014",Erica Martin,"At the 2014 IRE Conference, a panel of three journalists, moderated by New England Center for Investigative Reporting senior investigative reporter Jenifer McKim, talked about finding how they found forgotten […]","isted living, audio, Detroit, forgotten victims, nursing homes"
Learn about IRE Meetups and RSVP for events in 3 cities this month,https://www.ire.org/learn-about-ire-meetups-and-rsvp-for-events-in-3-cities-this-month/,"November 6, 2014",Erica Martin,"Join journalists in Chicago, New York and Los Angeles for IRE Meetups later this month. You don’t have to be an IRE member to attend these events, but we encourage […]","events, Meetups, Member News"
Ferguson no-fly zone aimed at media,https://www.ire.org/ferguson-no-fly-zone-aimed-at-media/,"November 3, 2014",hdcoadmin,"The no-fly zone in place during August’s protests in Ferguson, Missouri, was enacted to keep the media from shooting overhead footage from helicopters, according to a report by the Associated […]","Ferguson, first amendment, FOIA, journalism, no-fly zone, Transparency"
Mark your calendar for the LA IRE Meetup this month,https://www.ire.org/mark-your-calendar-for-the-la-ire-meetup-this-month/,"November 1, 2014",hdcoadmin,"Join us for the first-ever LA IRE Meetup! We’ll be gathering at Sadie (1638 N. Las Palmas Ave in Hollywood) on Thursday, Nov. 13 starting at 6:30 PM. We’re co-hosting […]","Meetups, membership"
IRE Radio Podcast | Housing Horror Stories,https://www.ire.org/ire-radio-podcast-housing-horror-stories/,"October 31, 2014",Erica Martin,"It’s a special Halloween episode of the IRE Radio Podcast, and this week we’re telling some housing horror stories. Here’s the lineup: Marisa Kwiatkowski of The Indianapolis Star talks about […]","udio, banking, house of horrors, housing, Podcast, SEC filings"
AUDIO: How to track and report on gun violence,https://www.ire.org/audio-how-to-track-and-report-on-gun-violence/,"October 30, 2014",hdcoadmin,"There is no perfect or universal way to classify a mass shooting. As such, reliable, nuanced data on the topic is sparse. And further complicating the reporter’s job is the […]","uns, politics, public safety, victims, Violence"
NECIR director freed after detainment in Russia,https://www.ire.org/necir-director-freed-after-detainment-in-russia/,"October 17, 2014",hdcoadmin,"The executive director of the New England Center for Investigative Reporting was detained in Russia Thursday ""for allegedly illegally conducting a journalism workshop in St. Petersburg,"" according to the center’s website. […]",
IRE Radio Podcast | Hazardous Health Care,https://www.ire.org/ire-radio-podcast-hazardous-health-care/,"October 17, 2014",Erica Martin,It's not easy prying information out of hospitals and health departments. On our podcast this week we’ll hear from journalists who successfully negotiated for the data or documents they needed […],"Deadly Delays, health, health care, healthcare, Hospitals, medical, medicine, Podcast"
New York newspaper asks judge to force release of license plate data,https://www.ire.org/new-york-newspaper-asks-judge-to-force-release-of-license-plate-data/,"October 16, 2014",hdcoadmin,"The Democrat & Chronicle is fighting a county’s denial to provide license plate information about seven newspaper employees and a couple government-owned vehicles, the paper reports. The Rochester, New York-based […]","courts, data, first amendment, FOIA, government, investigations-1, license plate, open records, public records, state records request"
Behind the Story: New Jersey reporter finds inconsistencies in 2008 death investigation,https://www.ire.org/behind-the-story-new-jersey-reporter-finds-inconsistencies-in-2008-death-investigation/,"October 16, 2014",hdcoadmin,"Chris Baxter Chris Baxter and NJ Advance Media wrestled out a compelling and untold story, let the digital presentation take the lead and came away with a “smashing” investigative success. […]","Behind the Story, crime, database, FOIA, lawsuit, police, public records, public safety, settlements"
"From the IRE Archive: Gary Webb's ""Dark Alliance""",https://www.ire.org/from-the-ire-archive-gary-webbs-dark-alliance/,"October 15, 2014",hdcoadmin,"Interested in learning more about the story behind the new movie, ""Kill the Messenger""? Listen to this panel from the 1997 IRE National Conference in Phoenix, Ariz. titled ""Can Investigative […]","udio, CIA, Drugs"
Suggest a database and help expand the NICAR Data Library,https://www.ire.org/suggest-a-database-and-help-expand-the-nicar-data-library/,"October 14, 2014",Erica Martin,"NICAR is looking to add new data sets to its collection, and we're interested in your suggestions. We're looking for national, multi-state, or multi-country data sets that are potentially valuable […]","data, database, Database Library, NICAR"
AUDIO: How to structure your story,https://www.ire.org/audio-how-to-structure-your-story/,"October 8, 2014",hdcoadmin,"You've done all of your reporting and now it's time to write, but how do you structure your story? Jacqui Banaszynski, winner of the 1988 Pulitzer Prize in feature writing, […]","udio, Story, storytelling;, structure;, writing"
IRE Radio Podcast | Policing the Players,https://www.ire.org/ire-radio-podcast-policing-the-players/,"October 3, 2014",Erica Martin,"You don’t have to be a full-time sports reporter to investigate athletes. This week we’re looking at sports investigations on several levels: college, military and professional. Join us for tips […]","thlete, athletics, audio, college, football, military;, Podcast, sports"
"New video series highlights reporting tips, techniques",https://www.ire.org/new-video-series-highlights-reporting-tips-techniques/,"September 30, 2014",hdcoadmin,"This week we launched Story Shorts, a new series of web videos designed to help journalists share tips and techniques they’ve used on a variety of investigative stories. We’ve paired the […]","Behind the Story, Broadcast, housing, KSHB, real estate, Resources, Story Shorts, video"
AUDIO: Tips for getting key sources to talk,https://www.ire.org/audio-tips-for-getting-key-sources-to-talk/,"September 29, 2014",hdcoadmin,"Investigative reporters spend months on story basics, building data and documents. But without the right sources, even the most telling facts can read a bit, well, boring. With that in […]","udio, building trust, investigations-1, reporting, Sources"
"Washington Post, Marshall Project collaborate with DocumentCloud to make note embeds responsive",https://www.ire.org/washington-post-marshall-project-collaborate-with-documentcloud-to-make-note-embeds-responsive/,"September 25, 2014",hdcoadmin,"This post originally appeared on the DocumentCloud blog. On Aug. 3, The Marshall Project, a new nonprofit journalism organization focused on criminal justice issues, published an investigation in partnership with […]","criminal justice, Document Cloud, DocumentCloud"
Apply now for the 2015 IRE Knight Scholarship,https://www.ire.org/apply-now-for-the-2015-ire-knight-scholarship/,"September 25, 2014",hdcoadmin,2014 CAR Conference Knight Scholars and mentors pose for a group picture. Applications are now being accepted from college students at several historically black colleges and universities for the Knight […],"CAR Conference, fellowships, IRE Conference, scholarships, student, university"
Judge lifts court order against Ala. newspaper,https://www.ire.org/judge-lifts-court-order-against-ala-newspaper/,"September 23, 2014",hdcoadmin,"An Alabama judge has lifted a temporary restraining order banning the Montgomery Advertiser from publishing public documents it obtained from a gas company. The newspaper had obtained, through an open […]","FOIA, Gannett, gas, government, prior restraint, public records, restraining order, state document, state utilities, USA Today"
Judge blocks Alabama newspaper from printing information obtained through open records request,https://www.ire.org/judge-blocks-alabama-newspaper-from-printing-information-obtained-through-open-records-request/,"September 19, 2014",Erica Martin,"A state court judge has temporarily blocked the Montgomery Advertiser from publishing information about a utility company’s plan for gas line safety, information obtained through an open records request. Alagasco […]","Gannett, lawsuit, open records, Transparency, Transparency Watch"
IRE Radio Podcast | The dark side of the oil & gas boom,https://www.ire.org/ire-radio-podcast-the-dark-side-of-the-oil-gas-boom/,"September 19, 2014",Erica Martin,Think oil and gas stories are just for reporters in a few key states? Think again. There are more than 1.1 million active oil and gas wells in 36 states. […],"udio, environment, multimedia, oil, oil and gas, Podcast, radio"
Behind the Story: How Chicago Magazine exposed the truth about the city’s crime rates,https://www.ire.org/behind-the-story-how-chicago-magazine-exposed-the-truth-about-the-citys-crime-rates/,"September 17, 2014",hdcoadmin,"Chicago Magazine | June 2014 A story that helped change the way Chicagoans digest crime stats started with suspicion. Immersed in a different crime-related piece, Chicago Magazine Features Editor David […]","Behind the Story, behind-the-story-1, car_1, Chicago, crime, crime rates, data, justice, police, public safety, sources-1"
Mississippi town could make text messages readily available,https://www.ire.org/mississippi-town-could-make-text-messages-readily-available/,"September 16, 2014",hdcoadmin,"A town in Mississippi could soon become the first in the state to archive and make available the text messages of public officials, according to the Northeast Mississippi Daily Journal. […]","FOIA, freedom of infromation act, government, local government, open records, open records requests, text messages"
AUDIO: The data-driven story from start to finish,https://www.ire.org/audio-the-data-driven-story-from-start-to-finish/,"September 16, 2014",hdcoadmin,"New to data reporting? Anthony Cormier, Sarasota Herald-Tribune; Jaeah Lee, Mother Jones; Rob O’Dell, The Arizona Republic; and Shawn McIntosh, The Atlanta Journal-Constitution walked journalists through their tips at the […]","nalysis, audio, budget;, data-driven, schedule;, Story"
Appeals court upholds denial of FOIA request for detainee's photo,https://www.ire.org/appeals-court-upholds-denial-of-foia-request-for-detainees-photo/,"September 5, 2014",hdcoadmin,A U.S. Court of Appeals upheld a Freedom of Information Act request denial to grant photos and other materials showing Guantanamo Bay prisoner Mohammed al-Qahtani to the Center for Constitutional […],"911, courts, FOIA, freedom of information act, government, Guantanamo Bay"
IRE Radio Podcast | Scrutinizing your schools,https://www.ire.org/ire-radio-podcast-scrutinizing-your-schools/,"September 5, 2014",Erica Martin,"This week we bring you an education-themed podcast in two acts. First we’ll talk about campus coverage, specifically investigations into Title IX and sexual assault. In Act II we’ll turn […]","udio, college, education, Podcast, race, sexual assault, Title IX, university"
NPR releases militarization data ahead of White House analysis,https://www.ire.org/npr-releases-militarization-data-ahead-of-white-house-analysis/,"September 4, 2014",hdcoadmin,"NPR has released analyzed data that shows every military item shipped to local, state and federal agencies from 2006 through April 23, 2014, as a part of the 1033 program. […]","data, data sharing, Ferguson, government, Michael Brown, NPR, police, police militarization, President Obama"
IRE remembers CNN photojournalist Sarmad Qaseera,https://www.ire.org/ire-remembers-cnn-photojournalist-sarmad-qaseera/,"September 4, 2014",hdcoadmin,"2012 IRE Awards video IRE is saddened to hear about the passing of Sarmad Qaseera, a photojournalist to whom we’d awarded an IRE Medal for his 2012 work in Benghazi. […]",
"NICAR Data Library to lower prices, offer free databases",https://www.ire.org/nicar-data-library-to-lower-prices-offer-free-databases/,"September 2, 2014",Erica Martin,The NICAR Database Library will be implementing some changes in the coming months: The first of these is a reduction in what we charge IRE members for most of our […],"database, Library"
Five databases at NICAR now offered for free to members,https://www.ire.org/five-databases-at-nicar-now-offered-for-free-to-members/,"September 2, 2014",Erica Martin,"Among some other changes happening at the NICAR Data Library (go here to read more about them), we are now providing five databases for free to IRE members: Federal Election Commission’s Federal […]","database, Library"
NICAR Data Library releases updated DOE campus crime data,https://www.ire.org/nicar-data-library-releases-updated-doe-campus-crime-data/,"August 29, 2014",Erica Martin,"The NICAR Database Library has updated the Department of Education's ​Campus Crime data to include the most recent reports on alleged crime, arrests and discipline reported for 2012.  Buy it […]","campus crime, crime, Database Library, education"
Behind the Story: How Kent State tracked student athletes missing class,https://www.ire.org/behind-the-story-how-kent-state-tracked-student-athletes-missing-class/,"August 28, 2014",hdcoadmin,"By Karl Idsvoog, Kent State University How do you get into college if you can only read at a grade-school level? Last January, CNN’s Sara Ganim answered that question in a […]","thlete, athletics, Behind the Story, behind-the-story-1, Broadcast, education, sports, student, university, video"
How to survive your first CAR story,https://www.ire.org/how-to-survive-your-first-car-story/,"August 27, 2014",hdcoadmin,"By Jennifer Johnson, The Grand Forks Herald Spreadsheet programs like Excel have always intimidated me. Sure, I dabbled in them a few times. I pulled up pre-formatted sheets and leafed […]","CAR training, car_1, data, education, Training"
IRE Radio Podcast | Beyond Breaking News,https://www.ire.org/ire-radio-podcast-beyond-breaking-news/,"August 22, 2014",Erica Martin,"When a story breaks, speed is key. But so are depth, context and accuracy. So how do you cover the news while simultaneously digging deeper? This week we’re talking about […]","udio, breaking news, Podcast"
Mark your calendar for the IRE Chicago Meetup next month,https://www.ire.org/mark-your-calendar-for-the-ire-chicago-meetup-next-month/,"August 15, 2014",hdcoadmin,"The IRE Chicago Meetup crew is partnering with the Chicago Headline Club for its next happy hour. The Chicago Headline Club holds Burger Nights every month, and the next one […]","Meetups, Member News"
"Do police have to release the name of the officer involved in the Ferguson, Mo. shooting?",https://www.ire.org/do-police-have-to-release-the-name-of-the-officer-involved-in-the-ferguson-mo-shooting/,"August 14, 2014",Erica Martin,"We’ve been getting a lot of questions about the Ferguson, Missouri police department’s decision not to release the name of the officer involved in the fatal shooting of 18-year-old Mike […]","FOIA, government, government secrecy, open records, Transparency"
AUDIO: The FERPA exception every reporter should know,https://www.ire.org/audio-the-ferpa-exception-every-reporter-should-know/,"August 13, 2014",Erica Martin,"Sexual assault cases are never easy to cover, and when a university is involved, the challenges become even greater. Victims are sometimes reluctant to talk. Administrators often refuse to do […]","udio, campus, college, FERPA, sexual assualt, university"
Cuomo administration policy allows state to delete emails of government employees,https://www.ire.org/cuomo-administration-policy-allows-state-to-delete-emails-of-government-employees/,"August 13, 2014",hdcoadmin,"According to WNYC, ""New York Gov. Andrew M. Cuomo’s administration — which the governor pledged would be the most transparent in state history — has quietly adopted policies that allow […]","FOIA, government, government secrecy, open records, politics"
IRE Radio Podcast | Building chemistry in your newsroom,https://www.ire.org/ire-radio-podcast-building-chemistry-in-your-newsroom/,"August 8, 2014",Erica Martin,A good reporter-editor relationship can make or break your investigative project. This week is all about building chemistry in the newsroom. Here’s the lineup: Alexandra Zayas and Chris Davis of […],"IRE Radio, Podcast"
Behind the Story: High-stakes testing in Norwegian schools subject to corruption,https://www.ire.org/behind-the-story-high-stakes-testing-in-norwegian-schools-subject-to-corruption/,"July 31, 2014",hdcoadmin,"By Shazia Sarwar A series of investigative reports by Verdens Gang (VG) in 2013 exposed that principals at all primary and secondary schools in Oslo, Norway’s capital, were given personal […]","Behind the Story, behind-the-story-1, cheating, contracts, education, international"
A Canadian journalist reflects on the IRE Conference,https://www.ire.org/a-canadian-journalist-reflects-on-the-ire-conference/,"July 29, 2014",hdcoadmin,"By Stanley Tromp, IRE member and independent journalist If anyone thinks that investigative reporting is a sunset profession, this idea was obliterated for me after I attended the Investigative Reporters […]","Conference, IRE"
IRE Radio Podcast | Scandals at the VA,https://www.ire.org/ire-radio-podcast-scandals-at-the-va/,"July 25, 2014",Erica Martin,Welcome to another episode of the IRE Radio Podcast. We’re excited to announce that this podcast is now available on iTunes. Subscribe to have the latest episode automatically download to […],"federal government, government, health, healthcare, IRE Radio, military;, Podcast, veterans affairs, veterans-1"
Improve your watchdog skills for just $10 this summer,https://www.ire.org/improve-your-watchdog-skills-for-just-10-this-summer/,"July 23, 2014",hdcoadmin,"It’s the best deal you can get in the nation’s capital. For $10, you can learn investigative techniques from some of the best journalists in the country. Yes, $10. IRE’s […]","raining, Watchdog Workshops"
Petition offers journalists a chance to support Risen,https://www.ire.org/petition-offers-journalists-a-chance-to-support-risen/,"July 22, 2014",hdcoadmin,"Last month, more than 1,600 IRE members gathered in San Francisco for training and to discuss the biggest issues facing our craft. Chief among them was the threat of government […]","James Risen, sources-1, surveillance"
Behind the Story: How KATC exposed problems with early animal euthanasia in Louisiana,https://www.ire.org/behind-the-story-how-katc-exposed-problems-with-early-animal-euthanasia-in-louisiana/,"July 22, 2014",Erica Martin,Video by KATC-Lafayette You don’t need to work in a large newsroom to pull off an investigative story with impact. Earlier this year KATC-Lafayette’s Tina Macias and Allison Bourne-Vanneck revealed […],"nimals, Behind the Story, behind-the-story-1, Broadcast, FOIA, local government, open records, records, video"
How to break through the secrecy surrounding the death penalty,https://www.ire.org/how-to-break-through-the-secrecy-surrounding-the-death-penalty/,"July 18, 2014",Erica Martin,"Journalists from four states recently joined IRE to discuss coverage of the death penalty and execution secrecy. Ziva Branstetter, Chris McDaniel, Brian Haas and Della Hasselle shared reporting tips, story […]","execution, Google Hangouts, government secrecy, lethal injection"
IRE Conference audio available for download,https://www.ire.org/ire-conference-audio-available-for-download/,"July 15, 2014",Erica Martin,Couldn't make it to all of the sessions on your IRE Conference wish list? We've got audio from nearly every panel and session. Full-length recordings are only available to IRE […],"udio, IRE Conference"
IRE Radio Podcast | Cracking the Crime Stats,https://www.ire.org/ire-radio-podcast-cracking-the-crime-stats/,"July 11, 2014",Erica Martin,Welcome to another episode of the IRE Radio Podcast. On this week’s episode we’re talking about crime – everything from fact-checking police stats to building databases to track gun violence. […],"car_1, crime, guns, IRE Radio, law enforcement, Podcast, police, police reporting, Violence"
Watch live: Google Hangout on execution secrecy,https://www.ire.org/watch-live-google-hangout-on-execution-secrecy/,"July 9, 2014",hdcoadmin,Today starting at 12 p.m. CDT we’ll be talking about how to investigate the death penalty and shed light on secrecy surrounding lethal injection practices. To watch the broadcast and submit […],"crime, execution, golden padlock, Google Hangouts, government secrecy, justice, lethal injection, Training"
Social media proves stronger than print during Ukraine protests,https://www.ire.org/social-media-proves-stronger-than-print-during-ukraine-protests/,"July 8, 2014",hdcoadmin,This post was originally published at Newsroom by the Bay By Elijah Akhtarzad The Investigative Reporters and Editors conference held at the Marriott Hotel in San Francisco on June 27 included a […],"international, IRE Conference, social media, social networks"
Join us Wednesday for a Google Hangout on execution secrecy,https://www.ire.org/join-us-wednesday-for-a-google-hangout-on-execution-secrecy/,"July 7, 2014",Erica Martin,Tune in Wednesday at 12 p.m. CDT to discuss coverage of the death penalty and the secrecy surrounding lethal injection procedures. We’ll be joined by four journalists who have been investigating […],"crime, execution, golden padlock, Google Hangouts, government secrecy, justice, lethal injection"
